n_clusters,silhouette,davies_bouldin
2,0.02181882787970543,6.184383716512742
3,0.027069630825491412,4.730003784755819
4,0.011988461136489109,5.11811055495915
5,-0.004949223920658836,5.699023796346234
6,-0.010262712265871771,5.393808550301876
7,-0.007895958784907729,5.056434307056748
8,-0.007234822779923307,5.115337004468217
9,-0.005609246143243878,5.850399991289525
10,-0.004827083261720633,5.640445298658898
11,-0.0021179694146778766,5.2309744468185375
12,-0.0008981460531540287,4.9184213174099485
13,-0.0015079615106802972,4.650122235906799
14,-0.00544638946418226,4.705891432843669
15,-0.0011267553337867338,5.035988728545516
16,0.0001528845681200185,5.046410726241781
17,0.0019008192496493708,4.912902269727232
18,0.003817641550951777,4.948653498724216
19,0.005646018795004532,4.835417946577112
20,0.005152483553855649,4.721574216652114
21,0.005936363916101208,4.65966440035615
22,0.008158880656545422,4.541997409733098
23,0.00877093048056069,4.53647506375897
24,0.009100265925869551,4.487846099027166
25,0.010815334153623464,4.3818919607634035
26,0.012651548954069483,4.353125939215849
27,0.013320425576788409,4.290148749030657
28,0.014476972613545469,4.197317256935441
29,0.016073787431956636,4.118557930130851
30,0.018050809091543454,4.020483164898092
